 absolute angle of inclination | angle of inclination | number of electrodes | voltage magnitude | voltage frequency | electrode dimension | x pitch | number of phases | grain mass density |  mesh size | gravity | phase shift | maximum classified radius | distance between dust generation and first electrode | yield 
     THETA        theta       n      phi         f     dimension     xpitch   phases mass density       h             g      phase shift    max radius dust distance       yield
    330.00000     30.00000    10    900.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.203846931458E-02 3.996734023094E-01
    330.00000     30.00000    10    900.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.153846830130E-02 3.333271741867E-01
    330.00000     30.00000    10    900.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.103846728802E-02 4.745234549046E-01
    330.00000     30.00000    10    900.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.354809105396E-02 7.518790960312E-01
    330.00000     30.00000    10   2000.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.203846931458E-02 7.139420509338E+00
    330.00000     30.00000    10   2000.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.153846830130E-02 8.750458717346E+00
    330.00000     30.00000    10   2000.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.103846728802E-02 1.171172046661E+01
    330.00000     30.00000    10   2000.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.354809105396E-02 7.836999893188E+00
    330.00000     30.00000    10   2000.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.505771279335E-02 1.806547164917E+01
    330.00000     30.00000    10   1950.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.203846931458E-02 8.175524711609E+00
    330.00000     30.00000    10   1950.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.153846830130E-02 9.080411911011E+00
    330.00000     30.00000    10   1950.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.103846728802E-02 1.071001338959E+01
    330.00000     30.00000    10   1950.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.354809105396E-02 1.674015808105E+01
    330.00000     30.00000    10   1950.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.505771279335E-02 8.257476806641E+00
    330.00000     30.00000    10   1900.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.203846931458E-02 7.417154788971E+00
    360.00000      0.00000    10   2000.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 3.999999724329E-03 5.713957827538E-03
    360.00000      0.00000    10   2000.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 3.499999875203E-03 6.207881961018E-03
