,absolute angle of inclination,angle of inclination,number of electrodes,voltage magnitude,voltage frequency,electrode dimension,x pitch,number of phases,grain mass density,mesh size,gravity,phase shift,time step,maximum classified radius,distance between dust generation and first electrode,grain number density,yield
50,25.0,25.0,6.0,1500.0,20.0,5.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,1.061456680298
51,50.0,50.0,6.0,2000.0,15.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.238350704312,1.0,0.861050724983
52,310.0,50.0,10.0,500.0,15.0,3.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.021242186427,1.0,0.726540744305
53,310.0,50.0,4.0,500.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.029371082783,1.0,0.750288307667
54,25.0,25.0,6.0,1500.0,5.0,5.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,1.058789372444
55,335.0,25.0,4.0,500.0,20.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,1.124226212502
56,50.0,50.0,4.0,1000.0,5.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.143010437489,1.0,0.649865090847
57,25.0,25.0,10.0,2000.0,5.0,3.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.083935394883,1.0,0.659226059914
58,25.0,25.0,4.0,1000.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,0.851420819759
59,310.0,50.0,4.0,500.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.029371082783,1.0,0.735314786434
60,50.0,50.0,8.0,1500.0,10.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,1.291989445686
61,50.0,50.0,10.0,2000.0,20.0,5.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.214515641332,1.0,1.431816339493
62,25.0,25.0,8.0,2000.0,10.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,1.767009973526
63,310.0,50.0,4.0,1000.0,10.0,6.0,40.0,4.0,1000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.03549477458,1.0,1.420399904251
64,50.0,50.0,6.0,2000.0,15.0,5.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,1.38111269474
65,50.0,50.0,4.0,1500.0,5.0,3.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,1.381757259369
66,25.0,25.0,8.0,1500.0,20.0,4.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,1.599585294724
67,25.0,25.0,6.0,1500.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,1.551523566246
68,310.0,50.0,8.0,1000.0,20.0,5.0,35.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.031510174274,1.0,1.470100402832
69,25.0,25.0,6.0,1500.0,5.0,6.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,1.556362986565
70,335.0,25.0,6.0,500.0,15.0,4.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.014684617519,1.0,1.227171897888
71,50.0,50.0,8.0,1500.0,20.0,6.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,1.244365811348
72,335.0,25.0,6.0,500.0,10.0,5.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.014184616506,1.0,1.259130001068
73,310.0,50.0,8.0,500.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.024577230215,1.0,1.204159736633
74,50.0,50.0,4.0,1500.0,10.0,5.0,35.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.125134125352,1.0,1.392436861992
75,25.0,25.0,8.0,2000.0,15.0,6.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.065283082426,1.0,1.703558802605
76,335.0,25.0,8.0,500.0,5.0,5.0,35.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.020377323031,1.0,1.441456079483
77,50.0,50.0,8.0,2000.0,15.0,6.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,1.223080635071
78,25.0,25.0,6.0,2000.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,1.264971494675
79,50.0,50.0,8.0,1500.0,5.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,1.307917118073
80,50.0,50.0,4.0,1500.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,1.797284960747
81,25.0,25.0,4.0,1000.0,5.0,3.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.027978463098,1.0,1.598825335503
82,50.0,50.0,6.0,1500.0,20.0,4.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,1.242810487747
83,50.0,50.0,6.0,2000.0,20.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,1.320448279381
84,335.0,25.0,4.0,500.0,10.0,5.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.013510771096,1.0,1.756812095642
85,50.0,50.0,10.0,2000.0,10.0,5.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.214515641332,1.0,1.472739458084
86,50.0,50.0,8.0,1500.0,5.0,5.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,1.548840880394
87,25.0,25.0,6.0,2000.0,10.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.046630766243,1.0,1.242278575897
88,335.0,25.0,6.0,1000.0,5.0,6.0,40.0,4.0,1000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,1.621370196342
89,50.0,50.0,8.0,2000.0,15.0,5.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,1.493156313896
90,335.0,25.0,10.0,500.0,5.0,4.0,30.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,1.970812439919
91,335.0,25.0,6.0,1000.0,15.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,2.268437147141
92,335.0,25.0,4.0,500.0,15.0,5.0,35.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.018018845469,1.0,2.292417764664
93,25.0,25.0,4.0,2000.0,15.0,4.0,30.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.041967689991,1.0,1.843686938286
94,25.0,25.0,4.0,1500.0,5.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.055956926197,1.0,2.389357089996
95,25.0,25.0,6.0,1500.0,20.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,2.135548591614
96,310.0,50.0,10.0,500.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.027113258839,1.0,1.920837640762
97,310.0,50.0,6.0,1000.0,5.0,5.0,35.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.033221572638,1.0,2.347231864929
98,50.0,50.0,4.0,1500.0,20.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,2.137001276016
99,310.0,50.0,8.0,1000.0,15.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,2.247495412827
100,25.0,25.0,4.0,2000.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.041967689991,1.0,1.849274873734
101,25.0,25.0,6.0,2000.0,20.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.046630769968,1.0,2.177953958511
102,310.0,50.0,4.0,500.0,5.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.03549477458,1.0,2.088598489761
103,25.0,25.0,4.0,1000.0,15.0,6.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,1.956508278847
104,335.0,25.0,6.0,1000.0,5.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,2.347901582718
105,25.0,25.0,8.0,2000.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.065283082426,1.0,1.935694813728
106,335.0,25.0,10.0,1000.0,5.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,1.983257889748
107,335.0,25.0,10.0,500.0,5.0,4.0,30.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,1.960171699524
108,25.0,25.0,8.0,2000.0,10.0,5.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.065283074975,1.0,2.10706782341
109,310.0,50.0,4.0,500.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,1.947481393814
110,50.0,50.0,6.0,2000.0,20.0,6.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,2.328522920609
111,335.0,25.0,6.0,500.0,10.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,2.245762348175
112,335.0,25.0,10.0,1000.0,10.0,4.0,30.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,1.988705515862
113,310.0,50.0,8.0,500.0,20.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,2.280291080475
114,50.0,50.0,10.0,2000.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.32177349925,1.0,1.97452545166
115,335.0,25.0,6.0,500.0,15.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,2.267229318619
116,335.0,25.0,6.0,1000.0,20.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,2.260259628296
117,335.0,25.0,6.0,1000.0,5.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,2.251583337784
118,310.0,50.0,8.0,500.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,2.296821117401
119,310.0,50.0,8.0,500.0,5.0,4.0,30.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,2.268424987793
120,335.0,25.0,4.0,500.0,20.0,6.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,2.478560447693
121,50.0,50.0,8.0,2000.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,2.861817836761
122,25.0,25.0,4.0,1500.0,20.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.055956926197,1.0,2.408978939056
123,25.0,25.0,8.0,1500.0,5.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.097924619913,1.0,2.619718074799
124,50.0,50.0,8.0,2000.0,20.0,4.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.16684551537,1.0,2.946708917618
125,335.0,25.0,4.0,1000.0,5.0,6.0,40.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.01902154088,1.0,2.509840726852
